sample_id,class,captured_at,sequence,variant,filename,zoom,zoom_applied,enhancement,source_width,source_height,source_sha256,difference_from_previous,esp32_url
empty_20260728_170049_911683_00001,empty,2026-07-28T17:00:49.911-04:00,1,processed,empty/empty_20260728_170049_911683_00001_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,29dd491cb664c3d92952aaacf3f8ed22d1cd6d6aea073b1c2177fa43cedef00e,,http://192.168.0.3
empty_20260728_170106_561621_00002,empty,2026-07-28T17:01:06.561-04:00,2,original,empty/empty_20260728_170106_561621_00002_original_z1p00.png,1.00,False,none,320,240,d1a120611bf06a4a663a234e3ed92b3e29b6129f6a0bf9732ae6da9be16e0b92,0.004882,http://192.168.0.3
empty_20260728_170150_604213_00003,empty,2026-07-28T17:01:50.604-04:00,3,processed,empty/empty_20260728_170150_604213_00003_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,450eab597ecf9c2132d041e47a9f19ad0716551b2d62a1d9bdbdadf21a14db4e,0.013699,http://192.168.0.3
empty_20260728_170314_737628_00004,empty,2026-07-28T17:03:14.737-04:00,4,original,empty/empty_20260728_170314_737628_00004_original_z1p00.png,1.00,False,none,320,240,49a7ae82e41ad51f1192de12fede07e6a4877e12434c7b5963f0e7c89b8b5b34,0.007006,http://192.168.0.3
empty_20260728_182556_637218_00020,empty,2026-07-28T18:25:56.637-04:00,20,processed,empty/empty_20260728_182556_637218_00020_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,a1b778210f8ecce76de47abdd7870a76ca527a150dd3008450e9276bde40b916,0.019187,http://192.168.0.3
empty_20260728_182557_150650_00021,empty,2026-07-28T18:25:57.150-04:00,21,processed,empty/empty_20260728_182557_150650_00021_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,1e2b17d3cacefd75718708b299f4e0af495bd8a84ac3b42fd1a1bce7704ec72b,0.018689,http://192.168.0.3
empty_20260728_182557_640640_00022,empty,2026-07-28T18:25:57.640-04:00,22,processed,empty/empty_20260728_182557_640640_00022_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,dda7764f869d076cc714f0ac37e3a106adb0c3b56408174161593f7c0da1986e,0.019017,http://192.168.0.3
empty_20260728_182613_380943_00023,empty,2026-07-28T18:26:13.380-04:00,23,processed,empty/empty_20260728_182613_380943_00023_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,b63d7fe5e8a75bccfd6f70f872a3c6cb1592040e6d62475401d64c0ef1d12449,0.016624,http://192.168.0.3
empty_20260728_182614_392578_00024,empty,2026-07-28T18:26:14.392-04:00,24,processed,empty/empty_20260728_182614_392578_00024_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,a600620e649a6083d9a0e6b190bd3bb5f8d7207c2a0a6bae5bf384efaca89e4f,0.017089,http://192.168.0.3
empty_20260728_182614_969980_00025,empty,2026-07-28T18:26:14.969-04:00,25,processed,empty/empty_20260728_182614_969980_00025_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,f6f0d5a293eacd23cf418dab5783d686118f395dfb4c95e195230b203fb42984,0.019766,http://192.168.0.3
empty_20260728_182630_515188_00028,empty,2026-07-28T18:26:30.515-04:00,28,processed,empty/empty_20260728_182630_515188_00028_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,4b5d1f77a2e86ff161c567ae853f17444f807b49778ceedcbef9a78d84e99338,0.016268,http://192.168.0.3
empty_20260728_182633_526896_00029,empty,2026-07-28T18:26:33.526-04:00,29,processed,empty/empty_20260728_182633_526896_00029_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,e0ecdbe501d72869deaddb67244c3aa8c28f8fe9e047244d2721b4ac274d4d4c,0.016117,http://192.168.0.3
empty_20260728_182638_966920_00032,empty,2026-07-28T18:26:38.966-04:00,32,processed,empty/empty_20260728_182638_966920_00032_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,271deb923130e37ac0cd940b246c168f2e04b393ac8e1e1a2d62780704ef60d7,0.017301,http://192.168.0.3
empty_20260728_182642_709417_00033,empty,2026-07-28T18:26:42.709-04:00,33,processed,empty/empty_20260728_182642_709417_00033_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,386cbc60500bb8df2c3f24131275617810c4b5239dba115bf5c6e27200d56166,0.019053,http://192.168.0.3
empty_20260728_182644_528021_00034,empty,2026-07-28T18:26:44.528-04:00,34,processed,empty/empty_20260728_182644_528021_00034_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,5aec14074718bc24fc6244945cc85fa6a4dac962d83376234815d136f61a8e18,0.016120,http://192.168.0.3
empty_20260728_182645_862499_00035,empty,2026-07-28T18:26:45.862-04:00,35,processed,empty/empty_20260728_182645_862499_00035_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,f78a3b03a5e6b160b0e00c8d30287154804569b6aa48786a8b7ab7ebcdb8068b,0.019557,http://192.168.0.3
empty_20260728_182707_438565_00036,empty,2026-07-28T18:27:07.438-04:00,36,original,empty/empty_20260728_182707_438565_00036_original_z1p00.png,1.00,False,none,320,240,d2694fbf6c3568018814c6ff0eabc6bcdc1fe8318f9f4411599bfedc33a31a1f,0.016423,http://192.168.0.3
empty_20260728_182713_384510_00037,empty,2026-07-28T18:27:13.384-04:00,37,processed,empty/empty_20260728_182713_384510_00037_processed_z1p00.png,1.00,False,CLAHE_L_1.5_8x8,320,240,d006043d418c7c7870c3c9b6c98a00ae6cbf943c1e108fa81eb5cc80c28deefb,0.019653,http://192.168.0.3
